CS_null_raster,CS_forest_motorways_k10,CS_barriers_k100
0.8624722085,0.4110342888,11.52833009
0.8702697341,0.2078306554,0.9904775189
0.8247686154,0.1686264742,1.118595559
0.827076486,0.2136167485,1.171528028
0.7147444691,0.09032661637,0.7428529913
0.7310731833,0.09027739546,0.7380165665
0.8414032884,0.1360496137,0.8656526272
0.8665305136,0.1873692002,1.095895088
0.8771658879,0.1181668739,0.9090577046
0.4863173374,0.04464304042,0.4865712642
0.3773243193,0.03442107239,0.377374589
0.4583671398,0.04201254416,0.4585533442
0.4933083908,0.04543740139,0.4935862511
0.874061483,0.1444363893,1.347707578
0.8803124781,0.1467863495,1.43343461
0.8589740127,0.171485069,1.099992923
0.8740721396,0.4619516302,1.024857226
0.8591269267,0.1455089555,1.345819938
0.8365552382,0.1107089789,0.8637984005
0.8005411137,0.1446052775,0.8170712809
0.8066284733,0.09381475597,0.8216241034
0.718463093,0.3520615355,0.7352794554
0.9095377782,0.1219427333,0.9548072457
0.8001348131,0.382568381,10.50192474
0.9001659209,0.2513691727,1.130962904
0.792595823,0.4223078776,1.152512095
0.9032564848,0.4298846559,1.113224373
0.898895293,0.2645950802,0.9448786697
0.7216579174,0.0783676176,0.7411922311
0.9041193362,0.2442767207,0.9692763799
0.9044032119,0.1255058441,0.9550828403
0.8011523637,0.1860734362,1.420316207
0.9072420532,0.243499828,1.116868331
0.9076024135,0.1953888312,1.074189128
0.690875369,0.2755955002,0.6959524479
0.9066248163,0.1534253915,1.304873881
0.9143645027,0.1864856241,1.124671875
0.908069859,0.1459821665,1.325849168
0.9057250335,0.4730420967,1.146564621
0.909312174,0.1493080675,1.349891342
0.8997153197,0.1466095268,1.337705579
0.9064877643,0.1205926752,0.9501057466
0.9141128793,0.2101811506,1.117627284
0.7252483553,0.1646721605,0.7331661808
0.6743685865,0.06809792957,0.6835580273
0.9062420287,0.2046685633,0.9760468225
0.9255999751,0.1930667543,0.9847243501
0.7825172205,0.1319136111,0.8306759387
0.9174907843,0.476251294,1.109214567
0.9166654867,0.1465878353,1.364189208
0.9129965464,0.1884297213,1.070320446
0.916622791,0.1854082266,1.06629061
0.9089955449,0.1458029293,1.320217067
0.9089531018,0.1214444568,0.9538937702
0.9131824344,0.2209440553,1.072437546
0.9467624812,0.1963833294,1.136012985
0.9477220672,0.1914580701,1.069871864
0.9230167029,0.1277896297,0.98325552
0.7114971404,0.07691408211,0.7161426118
0.8927559793,0.1447716193,1.315714559
0.9354433577,0.4029015796,1.009817172
0.9252273987,0.1475234536,1.280652795
0.9248550762,0.2086996601,0.991126681
0.9253839535,0.1517224956,1.301318059
0.9514354781,0.4369021377,1.120554557
0.9349844261,0.1631162277,1.142070883
0.9379415771,0.1491795601,1.203239159
0.9491757822,0.1514006382,1.202162281
0.8916296391,0.1828452811,1.098905562
0.891674145,0.1946778015,1.118479316
0.8917699712,0.7398774115,9.808278934
0.956120866,0.1813835672,1.135920883
0.9486872078,0.1335374894,1.032843618
0.9563680485,0.1849551187,1.137463662
0.7971023452,0.1818637617,0.8793144044
0.9537140347,0.1352615326,1.060008443
0.9619668808,0.1421099613,1.069590297
0.9539623511,0.1821500312,1.146123262
0.6739661598,0.07790657042,0.6817756657
0.9310601437,0.2734406353,1.072179908
0.9576447878,0.1825338011,1.136991923
0.9719059754,0.2227335803,1.087460063
0.9544716409,0.4262509053,1.139115038
0.9575529886,0.2137062198,1.082658209
0.9550685058,0.1923925571,1.142105183
0.9580926923,0.2044951365,1.092138885
0.9553074847,0.4633094883,1.167524251
0.9525685587,0.45519634,1.135524091
0.953508808,0.1516148722,1.194447006
0.9551955737,0.2116137607,1.095297662
0.9100591149,0.1258893572,0.9634525677
0.8239035882,0.3104965814,0.8441130606
0.9141943736,0.1508270132,1.30487507
0.7153552479,0.0759982515,0.7393919165
0.9333044295,0.143253521,0.9991677258
0.926363649,0.1476105862,10.57416202
0.8843928264,0.1152798169,0.9214472504
0.7878327709,0.4026570917,1.235925976
0.9215264357,0.169595265,1.202773017
0.7816894879,0.09045062416,0.7938581783
0.9689008516,0.2242756122,1.089507588
0.967013703,0.1952580968,1.092589885
0.9691040457,0.198678068,1.101979529
0.966387699,0.2367810613,1.495020198
0.9665113687,0.2057879402,1.100173077
0.9619294046,0.138800373,1.076139349
0.9268128705,0.4030746593,1.592762792
0.9712869093,0.2570993429,1.089399643
0.7970645185,0.1209431973,0.8141794337
0.9793051327,0.1868728999,1.112380835
0.8037420497,0.3600178658,0.8296750917
0.9761839117,0.1586334786,1.196240131
0.9784246044,0.157095425,10.62326223
0.9813599019,0.3701765437,1.182013102
0.8188017823,0.1007808838,0.8390322671
0.9637503263,0.2878459219,1.092393338
0.7499141505,0.2950706765,0.759694071
0.815714148,0.3839911853,1.16954518
0.9559150299,0.234419338,1.099361798
0.810575823,0.09494639446,0.8258948448
0.9441368968,0.1590642944,1.330788733
0.9553702331,0.1785219457,1.148588791
0.976272967,0.1822064593,1.157925907
0.9765719517,0.2378259155,1.096063274
0.9705659324,0.1559999782,1.197716723
0.9798043832,0.1767029416,1.207596237
0.9493067485,0.1324881747,1.038595039
0.9646209894,0.1601422049,1.382852831
0.9310030324,0.1492215588,1.208422576
0.9292230377,0.125194487,0.98875998
0.9379245214,0.3238813586,1.123795335
0.7073944929,0.07989996862,0.7177802702
0.9412893292,0.1740879087,1.029897052
0.9421911449,0.4079220889,1.104424872
0.9543536349,0.1570658898,1.40617903
0.7612623718,0.1038295716,0.7734762974
0.9601104271,0.4171092765,1.077770976
0.9360392214,0.1780858817,1.424985538
0.6922182288,0.1442752247,0.6969328277
0.9554243838,0.1597964651,1.513464547
0.8925046238,0.1446048786,1.313489342
0.9630741451,0.2025606905,1.141807784
0.9118363558,0.2103972019,1.072794518
0.8684565971,0.2008146896,0.9142587158
0.9724720365,0.4178464571,1.124975987
0.9256400467,0.155270304,1.310698057
0.9168360914,0.129877411,0.9763706391
0.9378170642,0.209927523,1.12845992
0.9394555631,0.4567861805,1.084642178
0.9440711891,0.3352343237,1.098179073
0.9776758538,0.1623976015,1.523459184
0.9222456108,0.3903770928,1.063232833
0.9201325784,0.4750474129,1.15192564
0.9202634193,0.1237647185,0.9751374635
0.9402835388,0.1530268213,1.390399756
0.9528617536,0.4666635972,1.13279951
0.950394814,0.2353849794,1.132729898
0.8202515534,0.1229338476,0.8378976813
0.9462115313,0.1827534781,1.037641419
0.8650670696,0.1215230646,0.8926076275
0.9540140547,0.4737323195,1.103497055
0.9536665459,0.2115321805,1.093042366
0.9298371533,0.2280865464,1.092227664
0.9186053825,0.2389624822,1.112177437
0.9537099997,0.1844638086,1.10323387
0.9546130902,0.3704354004,1.156836253
0.955354559,0.1839348749,1.138856542
0.6653293171,0.1958637168,0.6686829946
0.9732668342,0.1953365095,1.098247539
0.9011323916,0.4160204098,1.096849035
0.8629777556,0.4532943991,1.156224257
0.9522625504,0.1967512712,1.072131303
0.7555371452,0.08907846005,0.7879438099
0.87581233,0.207049894,0.9476079014
0.8767114291,0.1457303602,1.405430891
0.965890204,0.1409160068,1.092567904
0.8578578557,0.1062074163,0.8839663524
0.9810109752,0.2223449987,1.154201407
0.9647103395,0.3843917533,1.159432295
0.9736249819,0.4439400449,1.232962149
0.9732540932,0.190966974,1.517398429
0.8593662121,0.203422193,0.8855340227
0.9683087955,0.1569525084,1.209395419
0.9740448352,0.4694410721,1.284207066
0.968454412,0.1419556465,1.115004659
0.9723391286,0.2238805872,1.157629398
0.9357619645,0.1489196198,1.230044434
0.9866134582,0.1971864838,1.114224574
0.8586599317,0.1068125569,0.8842753456
0.859093192,0.3936041512,0.9479727059
0.8593172387,0.354024851,0.9094721425
0.8604904016,0.3771930746,0.9059166587
0.8590777066,0.425570082,1.220616036
0.9084485526,0.1200709677,0.9532406099
0.9327299446,0.1753550539,1.120839223
0.8701963255,0.1456283747,0.9109222182
0.9341324707,0.1527909587,1.393300525
0.9678970428,0.1569998775,1.210449408
0.8981642221,0.133790213,0.9386553846
0.9738368231,0.1607328422,1.491706876
0.9653307971,0.3516998884,1.503743308
0.9569283537,0.1887430769,1.143741789
0.9819161923,0.1570311656,1.264950266
0.9722241499,0.236132505,1.1539988
0.8966185678,0.1464834015,0.950471265
0.8759320696,0.1165331608,0.9071477661
0.8213229569,0.3743423647,0.8492250535
0.8975931105,0.2124683626,1.317010943
0.8979312231,0.1811078727,1.104360879
0.8972032468,0.1849835021,1.115888183
0.8942896443,0.1447397048,1.313426179
0.8291707987,0.09945229281,0.8491685084
0.6643293946,0.09828088167,0.6671820148
0.8256652721,0.09928786689,0.8436813256
0.9749486958,0.265284522,1.089870481
0.9061950396,0.1838845749,1.105964681
0.9062238373,0.2315258085,1.118440668
0.9069468895,0.208663393,0.9795647503
0.9076579278,0.2241304138,1.105398714
0.9682572213,0.2811258435,1.350997573
0.8349038833,0.1027604526,0.8581370186
0.8154455568,0.122914697,0.8306371722
0.8204379016,0.1578106012,1.185134454
0.9811691351,0.176367407,1.235166676
0.8831772132,0.2120185743,1.095920456
0.9962912742,0.1808230598,1.257809814
0.9839766454,0.1875003431,1.163840052
0.7552705598,0.08742012103,0.7927472163
0.8418856676,0.3934560429,0.8778987613
0.8442575323,0.3572510818,0.8923574471
0.8494087816,0.1905784827,0.873155421
0.9855998931,0.2273087165,1.103413478
0.8481993187,0.2093299838,1.155062722
0.9835907337,0.1768276221,1.187598107
0.989762914,0.210711785,1.11483966
0.987125471,0.1911478815,1.102642526
0.9872817352,0.1908278092,1.111683773
0.9955451308,0.1635181613,1.411663865
0.9874337337,0.2204320986,1.162192946
0.9960476928,0.2282291608,1.106531155
0.9888177127,0.1583129823,1.260947284
0.988311495,0.1914792227,1.192666965
1.003061137,0.4641075379,1.17696529
0.9921919494,0.1602784556,1.248278722
